Date,Time,sk-nor-101-sip1.ad.ic.ac.uk_Device_1
18/01/01,24:00:00,1561.0
18/01/02,24:00:00,2737.0
18/01/03,24:00:00,2834.0
18/01/04,24:00:00,2826.0
18/01/05,24:00:00,2759.0
18/01/06,24:00:00,2765.0
18/01/07,24:00:00,2763.0
18/01/08,24:00:00,3043.0
18/01/09,24:00:00,2952.0
18/01/10,24:00:00,3030.0
18/01/11,24:00:00,2978.0
18/01/12,24:00:00,3088.0
18/01/13,24:00:00,2882.0
18/01/14,24:00:00,2988.0
18/01/15,24:00:00,3001.0
18/01/16,24:00:00,3087.0
18/01/17,24:00:00,3079.0
18/01/18,24:00:00,3029.0
18/01/19,24:00:00,2996.0
18/01/20,24:00:00,2876.0
18/01/21,24:00:00,3046.0
18/01/22,24:00:00,3001.0
18/01/23,24:00:00,3082.0
18/01/24,24:00:00,3242.0
18/01/25,24:00:00,3114.0
18/01/26,24:00:00,3060.0
18/01/27,24:00:00,2938.0
18/01/28,24:00:00,2893.0
18/01/29,24:00:00,3025.0
18/01/30,24:00:00,3053.0
18/01/31,24:00:00,3085.0
18/02/01,24:00:00,2982.0
18/02/02,24:00:00,3017.0
18/02/03,24:00:00,2844.0
18/02/04,24:00:00,3015.0
18/02/05,24:00:00,3103.0
18/02/06,24:00:00,3088.0
18/02/07,24:00:00,3201.0
18/02/08,24:00:00,3291.0
18/02/09,24:00:00,3062.0
18/02/10,24:00:00,2918.0
18/02/11,24:00:00,2857.0
18/02/12,24:00:00,3234.0
18/02/13,24:00:00,3105.0
18/02/14,24:00:00,3088.0
18/02/15,24:00:00,2986.0
18/02/16,24:00:00,3019.0
18/02/17,24:00:00,2799.0
18/02/18,24:00:00,2853.0
18/02/19,24:00:00,3016.0
18/02/20,24:00:00,2919.0
18/02/21,24:00:00,2986.0
18/02/22,24:00:00,3080.0
18/02/23,24:00:00,2982.0
18/02/24,24:00:00,2818.0
18/02/25,24:00:00,2884.0
18/02/26,24:00:00,3152.0
18/02/27,24:00:00,3040.0
18/02/28,24:00:00,3132.0
18/03/01,24:00:00,3266.0
18/03/02,24:00:00,3052.0
18/03/03,24:00:00,2935.0
18/03/04,24:00:00,2841.0
18/03/05,24:00:00,3023.0
18/03/06,24:00:00,2933.0
18/03/07,24:00:00,2932.0
18/03/08,24:00:00,2957.0
18/03/09,24:00:00,3041.0
18/03/10,24:00:00,2845.0
18/03/11,24:00:00,2840.0
18/03/12,24:00:00,2868.0
18/03/13,24:00:00,2975.0
18/03/14,24:00:00,2995.0
