Date,Time,ICL1021
18/01/01,24:00:00,0.0
18/01/02,24:00:00,0.0
18/01/03,24:00:00,0.0
18/01/04,24:00:00,0.0
18/01/05,24:00:00,0.0
18/01/06,24:00:00,0.0
18/01/07,24:00:00,0.0
18/01/08,24:00:00,0.0
18/01/09,24:00:00,0.0
18/01/10,24:00:00,0.0
18/01/11,24:00:00,0.0
18/01/12,24:00:00,0.0
18/01/13,24:00:00,0.0
18/01/14,24:00:00,0.0
18/01/15,24:00:00,0.0
18/01/16,24:00:00,0.0
18/01/17,24:00:00,0.0
18/01/18,24:00:00,0.0
18/01/19,24:00:00,0.0
18/01/20,24:00:00,0.0
18/01/21,24:00:00,0.0
18/01/22,24:00:00,0.0
18/01/23,24:00:00,0.0
18/01/24,24:00:00,0.0
18/01/25,24:00:00,0.0
18/01/26,24:00:00,0.0
18/01/27,24:00:00,0.0
18/01/28,24:00:00,0.0
18/01/29,24:00:00,0.0
18/01/30,24:00:00,0.0
18/01/31,24:00:00,0.0
18/02/01,24:00:00,0.0
18/02/02,24:00:00,0.0
18/02/03,24:00:00,0.0
18/02/04,24:00:00,0.0
18/02/05,24:00:00,0.0
18/02/06,24:00:00,0.0
18/02/07,24:00:00,0.0
18/02/08,24:00:00,0.0
18/02/09,24:00:00,0.0
18/02/10,24:00:00,0.0
18/02/11,24:00:00,0.0
18/02/12,24:00:00,0.0
18/02/13,24:00:00,0.0
18/02/14,24:00:00,0.0
18/02/15,24:00:00,0.0
18/02/16,24:00:00,0.0
18/02/17,24:00:00,0.0
18/02/18,24:00:00,0.0
18/02/19,24:00:00,0.0
18/02/20,24:00:00,0.0
18/02/21,24:00:00,0.0
18/02/22,24:00:00,0.0
18/02/23,24:00:00,0.0
18/02/24,24:00:00,0.0
18/02/25,24:00:00,0.0
18/02/26,24:00:00,0.0
18/02/27,24:00:00,0.0
18/02/28,24:00:00,0.0
18/03/01,24:00:00,0.0
18/03/02,24:00:00,0.0
18/03/03,24:00:00,0.0
18/03/04,24:00:00,0.0
18/03/05,24:00:00,0.0
18/03/06,24:00:00,0.0
18/03/07,24:00:00,0.0
18/03/08,24:00:00,0.0
18/03/09,24:00:00,0.0
18/03/10,24:00:00,0.0
