Date,Time,ICL1021
22/01/01,24:00:00,0.0
22/01/02,24:00:00,0.0
22/01/03,24:00:00,0.0
22/01/04,24:00:00,0.0
22/01/05,24:00:00,0.0
22/01/06,24:00:00,0.0
22/01/07,24:00:00,0.0
22/01/08,24:00:00,0.0
22/01/09,24:00:00,0.0
22/01/10,24:00:00,0.0
22/01/11,24:00:00,0.0
22/01/12,24:00:00,0.0
22/01/13,24:00:00,0.0
22/01/14,24:00:00,0.0
22/01/15,24:00:00,0.0
22/01/16,24:00:00,0.0
22/01/17,24:00:00,0.0
22/01/18,24:00:00,0.0
22/01/19,24:00:00,0.0
22/01/20,24:00:00,0.0
22/01/21,24:00:00,0.0
22/01/22,24:00:00,0.0
22/01/23,24:00:00,0.0
22/01/24,24:00:00,0.0
22/01/25,24:00:00,0.0
22/01/26,24:00:00,0.0
22/01/27,24:00:00,0.0
22/01/28,24:00:00,0.0
22/01/29,24:00:00,0.0
22/01/30,24:00:00,0.0
22/01/31,24:00:00,0.0
22/02/01,24:00:00,0.0
22/02/02,24:00:00,0.0
22/02/03,24:00:00,0.0
22/02/04,24:00:00,0.0
22/02/05,24:00:00,0.0
22/02/06,24:00:00,0.0
22/02/07,24:00:00,0.0
22/02/08,24:00:00,0.0
22/02/09,24:00:00,0.0
22/02/10,24:00:00,0.0
22/02/11,24:00:00,0.0
22/02/12,24:00:00,0.0
22/02/13,24:00:00,0.0
22/02/14,24:00:00,0.0
22/02/15,24:00:00,0.0
22/02/16,24:00:00,0.0
22/02/17,24:00:00,0.0
22/02/18,24:00:00,0.0
22/02/19,24:00:00,0.0
22/02/20,24:00:00,0.0
22/02/21,24:00:00,0.0
22/02/22,24:00:00,0.0
22/02/23,24:00:00,0.0
22/02/24,24:00:00,0.0
22/02/25,24:00:00,0.0
22/02/26,24:00:00,0.0
22/02/27,24:00:00,0.0
22/02/28,24:00:00,0.0
22/03/01,24:00:00,0.0
22/03/02,24:00:00,0.0
22/03/03,24:00:00,0.0
22/03/04,24:00:00,0.0
22/03/05,24:00:00,0.0
22/03/06,24:00:00,0.0
22/03/07,24:00:00,0.0
22/03/08,24:00:00,0.0
22/03/09,24:00:00,0.0
22/03/10,24:00:00,0.0
22/03/11,24:00:00,0.0
22/03/12,24:00:00,0.0
22/03/13,24:00:00,0.0
22/03/14,24:00:00,0.0
22/03/15,24:00:00,0.0
22/03/16,24:00:00,0.0
22/03/17,24:00:00,0.0
22/03/18,24:00:00,0.0
22/03/19,24:00:00,0.0
22/03/20,24:00:00,0.0
22/03/21,24:00:00,0.0
22/03/22,24:00:00,0.0
22/03/23,24:00:00,0.0
22/03/24,24:00:00,0.0
22/03/25,24:00:00,0.0
22/03/26,24:00:00,0.0
22/03/27,24:00:00,0.0
22/03/28,24:00:00,0.0
22/03/29,24:00:00,0.0
22/03/30,24:00:00,0.0
22/03/31,24:00:00,0.0
22/04/01,24:00:00,0.0
22/04/02,24:00:00,0.0
22/04/03,24:00:00,0.0
22/04/04,24:00:00,0.0
22/04/05,24:00:00,0.0
22/04/06,24:00:00,0.0
22/04/07,24:00:00,0.0
22/04/08,24:00:00,0.0
22/04/09,24:00:00,0.0
22/04/10,24:00:00,0.0
22/04/11,24:00:00,0.0
22/04/12,24:00:00,0.0
22/04/13,24:00:00,0.0
22/04/14,24:00:00,0.0
22/04/15,24:00:00,0.0
22/04/16,24:00:00,0.0
22/04/17,24:00:00,0.0
22/04/18,24:00:00,0.0
22/04/19,24:00:00,0.0
22/04/20,24:00:00,0.0
22/04/21,24:00:00,0.0
22/04/22,24:00:00,0.0
22/04/23,24:00:00,0.0
22/04/24,24:00:00,0.0
22/04/25,24:00:00,0.0
22/04/26,24:00:00,0.0
22/04/27,24:00:00,0.0
22/04/28,24:00:00,0.0
22/04/29,24:00:00,0.0
22/04/30,24:00:00,0.0
22/05/01,24:00:00,0.0
22/05/02,24:00:00,0.0
22/05/03,24:00:00,0.0
22/05/04,24:00:00,0.0
22/05/05,24:00:00,0.0
22/05/06,24:00:00,0.0
22/05/07,24:00:00,0.0
22/05/08,24:00:00,0.0
22/05/09,24:00:00,0.0
22/05/10,24:00:00,0.0
22/05/11,24:00:00,0.0
22/05/12,24:00:00,0.0
22/05/13,24:00:00,0.0
22/05/14,24:00:00,0.0
22/05/15,24:00:00,0.0
22/05/16,24:00:00,0.0
22/05/17,24:00:00,0.0
22/05/18,24:00:00,0.0
22/05/19,24:00:00,0.0
22/05/20,24:00:00,0.0
22/05/21,24:00:00,0.0
22/05/22,24:00:00,0.0
22/05/23,24:00:00,0.0
22/05/24,24:00:00,0.0
22/05/25,24:00:00,0.0
22/05/26,24:00:00,0.0
22/05/27,24:00:00,0.0
22/05/28,24:00:00,0.0
22/05/29,24:00:00,0.0
22/05/30,24:00:00,0.0
22/05/31,24:00:00,0.0
22/06/01,24:00:00,0.0
22/06/02,24:00:00,0.0
22/06/03,24:00:00,0.0
22/06/04,24:00:00,0.0
22/06/05,24:00:00,0.0
22/06/06,24:00:00,0.0
22/06/07,24:00:00,0.0
22/06/08,24:00:00,0.0
22/06/09,24:00:00,0.0
22/06/10,24:00:00,0.0
22/06/11,24:00:00,0.0
22/06/12,24:00:00,0.0
22/06/13,24:00:00,0.0
22/06/14,24:00:00,0.0
22/06/15,24:00:00,0.0
22/06/16,24:00:00,0.0
22/06/17,24:00:00,0.0
22/06/18,24:00:00,0.0
22/06/19,24:00:00,0.0
22/06/20,24:00:00,0.0
22/06/21,24:00:00,0.0
22/06/22,24:00:00,0.0
22/06/23,24:00:00,0.0
22/06/24,24:00:00,0.0
22/06/25,24:00:00,0.0
22/06/26,24:00:00,0.0
22/06/27,24:00:00,0.0
22/06/28,24:00:00,0.0
22/06/29,24:00:00,0.0
22/06/30,24:00:00,0.0
22/07/01,24:00:00,0.0
22/07/02,24:00:00,0.0
22/07/03,24:00:00,0.0
22/07/04,24:00:00,0.0
22/07/05,24:00:00,0.0
22/07/06,24:00:00,0.0
22/07/07,24:00:00,0.0
22/07/08,24:00:00,0.0
22/07/09,24:00:00,0.0
22/07/10,24:00:00,0.0
22/07/11,24:00:00,0.0
